#           x         yPlus
            0      0.846697
        0.005       1.05319
         0.01       1.37161
        0.015       1.55784
         0.02       1.68515
        0.025       1.77687
         0.03       1.84374
        0.035       1.89159
         0.04       1.92383
        0.045       1.94246
         0.05       1.94856
        0.055       1.94246
         0.06       1.92383
        0.065       1.89159
         0.07       1.84374
        0.075       1.77687
         0.08       1.68515
        0.085       1.55784
         0.09       1.37161
        0.095       1.05319
          0.1      0.846697
