#           z             p
            0       44.8892
          0.1       44.5801
          0.2       43.9798
          0.3       43.4358
          0.4       42.9355
          0.5       42.4396
          0.6       41.9447
          0.7       41.4539
          0.8       40.9676
          0.9       40.4854
            1       40.0067
          1.1       39.5311
          1.2       39.0584
          1.3       38.5882
          1.4       38.1205
          1.5       37.6549
          1.6       37.1913
          1.7       36.7295
          1.8       36.2693
          1.9       35.8107
            2       35.3534
          2.1       34.8974
          2.2       34.4426
          2.3        33.989
          2.4       33.5363
          2.5       33.0846
          2.6       32.6337
          2.7       32.1837
          2.8       31.7344
          2.9       31.2859
            3        30.838
          3.1       30.3907
          3.2       29.9439
          3.3       29.4977
          3.4        29.052
          3.5       28.6067
          3.6       28.1619
          3.7       27.7175
          3.8       27.2734
          3.9       26.8297
            4       26.3863
          4.1       25.9433
          4.2       25.5005
          4.3       25.0579
          4.4       24.6157
          4.5       24.1736
          4.6       23.7318
          4.7       23.2902
          4.8       22.8487
          4.9       22.4075
            5       21.9664
          5.1       21.5255
          5.2       21.0847
          5.3        20.644
          5.4       20.2035
          5.5       19.7631
          5.6       19.3228
          5.7       18.8827
          5.8       18.4426
          5.9       18.0026
            6       17.5627
          6.1       17.1229
          6.2       16.6831
          6.3       16.2434
          6.4       15.8038
          6.5       15.3643
          6.6       14.9248
          6.7       14.4854
          6.8        14.046
          6.9       13.6066
            7       13.1673
          7.1       12.7281
          7.2       12.2889
          7.3       11.8497
          7.4       11.4106
          7.5       10.9715
          7.6       10.5324
          7.7       10.0933
          7.8        9.6543
          7.9        9.2153
            8       8.77633
          8.1       8.33737
          8.2       7.89844
          8.3       7.45953
          8.4       7.02063
          8.5       6.58175
          8.6       6.14289
          8.7       5.70404
          8.8       5.26521
          8.9       4.82638
            9       4.38757
          9.1       3.94878
          9.2       3.50999
          9.3       3.07121
          9.4       2.63244
          9.5       2.19368
          9.6       1.75493
          9.7       1.31619
          9.8       0.87745
          9.9      0.438722
           10             0
