#           x           U_x           U_y           U_z
            0             0             0             0
         0.01   4.06583e-06  -2.40457e-12       2.52937
         0.02   1.01892e-05  -3.66437e-11       4.32608
         0.03   1.30259e-05  -9.24528e-12       5.51542
         0.04   9.14688e-06   4.04761e-11       6.19101
         0.05   4.73283e-11   6.66191e-11       6.40985
         0.06  -9.14685e-06   5.79666e-11       6.19101
         0.07   -1.3026e-05   2.73669e-11       5.51542
         0.08  -1.01893e-05  -1.21119e-12       4.32608
         0.09  -4.06587e-06   9.38357e-12       2.52937
          0.1             0             0             0
