# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall	0.000000e+00	0.000000e+00	0.000000e+00
50            	wall	2.146015e+00	3.868109e+00	3.274882e+00
100           	wall	2.145988e+00	3.868066e+00	3.274879e+00
150           	wall	2.145988e+00	3.868065e+00	3.274879e+00
200           	wall	2.145988e+00	3.868065e+00	3.274879e+00
250           	wall	2.145988e+00	3.868065e+00	3.274879e+00
300           	wall	2.145988e+00	3.868065e+00	3.274879e+00
350           	wall	2.145988e+00	3.868065e+00	3.274879e+00
400           	wall	2.145988e+00	3.868065e+00	3.274879e+00
450           	wall	2.145988e+00	3.868065e+00	3.274879e+00
500           	wall	2.145988e+00	3.868065e+00	3.274879e+00
